вид спорта,процент вилки,время жизни вилки,название противоположной бк,команда 1,команда 2,вид ставки,коэффициент на Bet365,количество инициаторов у Bet365,коэффициент противоположной БК,количество инициаторов противоположной БК,кто является инициатором
Киберфутбол,0,1 сек,1xbet,Arsenal (ViTo) Esports,Bayer 04 (YOSHI) Esports,Команда1 Тб(2.5),2.251,1,1.82,2,0
Киберфутбол,2.86,16 сек,Betcity,Arsenal (ViTo) Esports,Bayer 04 (YOSHI) Esports,1,3.61,1,1.446,6,Betcity
Киберфутбол,8.73,1 сек,Betcity,Tottenham (AlBack) Esports,Napoli (indenfor) Esports,Гола не будет(7),101,1,1.223,3,0
Киберфутбол,4.46,0 сек,Betcity,Tottenham (AlBack) Esports,Napoli (indenfor) Esports,Тм(8.5),2.251,1,1.959,9,Betcity
Киберфутбол,5.88,46 сек,Betcity,Tottenham (AlBack) Esports,Napoli (indenfor) Esports,Гола не будет(8),41,1,1.446,6,Betcity
Киберфутбол,4.76,3 сек,Favbet,Arsenal (ViTo) Esports,Man Utd (SpursMax) Esports,Тм(5.5),21,1,2.28,8,Favbet
Киберфутбол,12.01,0 сек,Unibet,Arsenal (ViTo) Esports,Man Utd (SpursMax) Esports,Г1(-2),2.3756,6,2.125,5,0
Киберфутбол,0,0 сек,Betcity,Bayer 04 (YOSHI) Esports,Napoli (indenfor) Esports,Команда1 Тб(3.5),2.251,1,1.81,1,0
Киберфутбол,2.7,8 сек,1xbet,Bayer 04 (YOSHI) Esports,Napoli (indenfor) Esports,Тб(5.5),2.12,2,2.015,0,0
Киберфутбол,0.92,3 сек,Favbet,Bayer 04 (YOSHI) Esports,Napoli (indenfor) Esports,Тб(6.5),2.252,2,1.835,5,Favbet
Киберфутбол,0.59,13 сек,Favbet,Arsenal (ViTo) Esports,Man Utd (SpursMax) Esports,Г2(1),4.3331,1,1.319,9,Favbet
Киберфутбол,0.02,6 сек,Favbet,Bayer 04 (YOSHI) Esports,Napoli (indenfor) Esports,Тм(5.5),2.11,1,1.9110,10,Favbet
Киберфутбол,1.65,2 сек,Favbet,Bayer 04 (YOSHI) Esports,Napoli (indenfor) Esports,Гола не будет(6),3.41,1,1.457,7,Favbet
Киберфутбол,5.88,5 сек,Betcity,Man Utd (SpursMax) Esports,Napoli (indenfor) Esports,Тб(5.5),22,2,2.256,6,Betcity
Киберфутбол,0.18,2 сек,1xbet,Man Utd (SpursMax) Esports,Napoli (indenfor) Esports,Команда1 Тб(2.5),2.6251,1,1.622,2,0
Киберфутбол,1.52,10 сек,Betcity,Bayer 04 (YOSHI) Esports,Tottenham (AlBack) Esports,Команда2 Тб(1.5),2.251,1,1.852,2,0
Киберфутбол,3.61,1 мин 13 сек,Betcity,Bayer 04 (YOSHI) Esports,Tottenham (AlBack) Esports,Тб(2.5),24,4,2.155,5,0
Киберфутбол,1.65,6 сек,Unibet,Bayer 04 (YOSHI) Esports,Tottenham (AlBack) Esports,Тб(3.5),2.12,2,1.974,4,0
Киберфутбол,0.12,1 сек,1xbet,Man Utd (SpursMax) Esports,Napoli (indenfor) Esports,2,22,2,2.0055,5,1xbet
Киберфутбол,0.02,3 сек,Unibet,Man Utd (SpursMax) Esports,Napoli (indenfor) Esports,X2,2.12,2,1.915,5,Unibet
Киберфутбол,1.37,3 сек,Favbet,Man Utd (SpursMax) Esports,Napoli (indenfor) Esports,Г2(1),2.21,1,1.886,6,Favbet
Киберфутбол,29.57,0 сек,Betcity,Man Utd (SpursMax) Esports,Bayer 04 (YOSHI) Esports,Г1(3),2.753,3,2.456,6,Betcity
Киберфутбол,0,0 сек,Favbet,Man Utd (SpursMax) Esports,Bayer 04 (YOSHI) Esports,Тб(6.5),21,1,23,3,0
Киберфутбол,7.95,14 сек,Betcity,Man Utd (SpursMax) Esports,Bayer 04 (YOSHI) Esports,Команда2 Тб(5.5),2.52,2,1.94,4,0
Киберфутбол,8.99,1 сек,Unibet,Arsenal (ViTo) Esports,Tottenham (AlBack) Esports,Тб(4.5),2.21,1,2.1610,10,Unibet
Киберфутбол,2.52,0 сек,Favbet,Arsenal (ViTo) Esports,Tottenham (AlBack) Esports,Тм(4.5),2.21,1,1.926,6,Favbet
Киберфутбол,0,0 сек,1xbet,Man Utd (SpursMax) Esports,Bayer 04 (YOSHI) Esports,Тм(4.5),2.251,1,1.85,5,1xbet
Киберфутбол,1.52,1 сек,Betcity,Man Utd (SpursMax) Esports,Tottenham (AlBack) Esports,Тб(5.5),2.252,2,1.853,3,0
Киберфутбол,10.92,0 сек,1xbet,Man Utd (SpursMax) Esports,Tottenham (AlBack) Esports,Команда2 Тб(5.5),32,2,1.762,2,0
Киберфутбол,3.75,27 сек,Unibet,Man Utd (SpursMax) Esports,Tottenham (AlBack) Esports,Г2(-4),2.31,1,1.892,0,0
Киберфутбол,3.61,39 сек,Betcity,Man Utd (SpursMax) Esports,Tottenham (AlBack) Esports,Ф2(-4.25),21,1,2.154,4,Betcity
Киберфутбол,2.81,7 сек,Favbet,Bayer 04 (YOSHI) Esports,Arsenal (ViTo) Esports,Тб(4.5),2.21,1,1.937,7,Favbet
Киберфутбол,0.09,1 сек,Fonbet,Napoli (indenfor) Esports,Tottenham (AlBack) Esports,Команда1 Тб(1.5),2.3751,1,1.732,2,0
Киберфутбол,2.4,14 сек,Betcity,Napoli (indenfor) Esports,Tottenham (AlBack) Esports,Команда2 Тб(2.5),2.3752,2,1.82,2,0
Киберфутбол,5.85,18 сек,1xbet,Napoli (indenfor) Esports,Tottenham (AlBack) Esports,Тб(3.5),2.22,2,2.047,7,1xbet
Киберфутбол,1.95,3 сек,Betcity,Bayer 04 (YOSHI) Esports,Arsenal (ViTo) Esports,Тм(2.5),2.21,1,1.96,6,Betcity
Киберфутбол,1.16,0 сек,Betcity,Bayer 04 (YOSHI) Esports,Arsenal (ViTo) Esports,Гола не будет(2),3.44,4,1.442,2,0
Киберфутбол,2.63,3 сек,Unibet,Napoli (indenfor) Esports,Tottenham (AlBack) Esports,Гола не будет(4),3.251,1,1.54,4,Unibet
Киберфутбол,1.42,1 сек,Fonbet,Newcastle (SpursMax) Esports,Leeds (ViTo) Esports,Команда1 Тб(1.5),2.3751,1,1.773,3,0
Киберфутбол,3.65,19 сек,Fonbet,Newcastle (SpursMax) Esports,Leeds (ViTo) Esports,Тб(4.5),2.22,2,1.964,4,0
Киберфутбол,1.08,0 сек,1xbet,Newcastle (SpursMax) Esports,Leeds (ViTo) Esports,Команда2 Тб(2.5),2.21,1,1.872,2,0
Киберфутбол,21.13,0 сек,Unibet,Newcastle (SpursMax) Esports,Leeds (ViTo) Esports,1X,2.55,5,2.356,6,0
Киберфутбол,0.84,0 сек,Fonbet,Newcastle (SpursMax) Esports,Leeds (ViTo) Esports,Тм(5.5),2.11,1,1.946,6,Fonbet
Киберфутбол,0.31,3 сек,Unibet,Everton (AlBack) Esports,Wolves (YOSHI) Esports,Тб(4.5),2.252,2,1.812,2,0
Киберфутбол,0.49,1 сек,1xbet,Everton (AlBack) Esports,Wolves (YOSHI) Esports,Команда1 Тб(1.5),2.22,2,1.852,2,0
Киберфутбол,1.69,15 сек,1xbet,Everton (AlBack) Esports,Wolves (YOSHI) Esports,Команда1 Тб(1.5),3.252,2,1.482,2,0
Киберфутбол,0.99,1 сек,1xbet,Everton (AlBack) Esports,Wolves (YOSHI) Esports,Тб(5.5),24,4,2.046,6,0
Киберфутбол,4.31,3 сек,Favbet,Everton (AlBack) Esports,Wolves (YOSHI) Esports,Тм(5.5),2.51,1,1.798,8,Favbet
Киберфутбол,4.05,3 сек,Favbet,Everton (AlBack) Esports,Wolves (YOSHI) Esports,Гола не будет(5),3.751,1,1.446,6,Favbet
Киберфутбол,0,1 сек,Betcity,Everton (AlBack) Esports,Leeds (ViTo) Esports,Тб(4.5),21,1,24,4,Betcity
Киберфутбол,1.38,2 сек,Favbet,Everton (AlBack) Esports,Leeds (ViTo) Esports,Тм(3.5),2.11,1,1.962,2,0
Киберфутбол,4.8,3 сек,Favbet,Everton (AlBack) Esports,Leeds (ViTo) Esports,Гола не будет(4),41,1,1.425,5,Favbet
Киберфутбол,2.44,11 сек,Favbet,Leeds (ViTo) Esports,Leicester (Indenfor) Esports,Тб(3.5),21,1,2.12,2,0
Киберфутбол,3.73,17 сек,Betcity,Everton (AlBack) Esports,Newcastle (SpursMax) Esports,Команда1 Тб(2.5),2.11,1,2.054,4,Betcity
Киберфутбол,3.49,3 сек,1xbet,Leeds (ViTo) Esports,Leicester (Indenfor) Esports,Команда2 Тб(1.5),32,2,1.582,2,0
Киберфутбол,0.94,0 сек,1xbet,Everton (AlBack) Esports,Newcastle (SpursMax) Esports,2,2.62,2,1.653,3,0
Киберфутбол,0,0 сек,Betcity,Everton (AlBack) Esports,Newcastle (SpursMax) Esports,Тб(3.5),2.251,1,1.85,5,Betcity
Киберфутбол,0.74,1 сек,Favbet,Everton (AlBack) Esports,Newcastle (SpursMax) Esports,Гола не будет(3),3.251,1,1.466,6,Favbet
Киберфутбол,3.61,10 сек,Betcity,Leeds (ViTo) Esports,Wolves (YOSHI) Esports,Команда1 Тб(1.5),24,4,2.152,2,0
Киберфутбол,6.24,17 сек,Betcity,Leeds (ViTo) Esports,Wolves (YOSHI) Esports,Тб(3.5),2.15,5,2.156,6,0
Киберфутбол,3.91,58 сек,Betcity,Leeds (ViTo) Esports,Wolves (YOSHI) Esports,Команда1 Тб(1.5),2.6253,3,1.722,2,0
Киберфутбол,1.95,0 сек,Betcity,Everton (AlBack) Esports,Leicester (Indenfor) Esports,Тб(4.5),2.21,1,1.97,7,Betcity
Киберфутбол,3.91,58 сек,Betcity,Leeds (ViTo) Esports,Wolves (YOSHI) Esports,Команда1 Тб(1.5),2.6253,3,1.722,2,0
Киберфутбол,1.95,0 сек,Betcity,Everton (AlBack) Esports,Leicester (Indenfor) Esports,Тб(4.5),2.21,1,1.97,7,Betcity
Киберфутбол,3.91,58 сек,Betcity,Leeds (ViTo) Esports,Wolves (YOSHI) Esports,Команда1 Тб(1.5),2.6253,3,1.722,2,0
Киберфутбол,1.95,0 сек,Betcity,Everton (AlBack) Esports,Leicester (Indenfor) Esports,Тб(4.5),2.21,1,1.97,7,Betcity
Киберфутбол,1.16,1 сек,Betcity,Wolves (YOSHI) Esports,Leicester (Indenfor) Esports,1,3.41,1,1.444,4,Betcity
Киберфутбол,9.62,0 сек,Favbet,Newcastle (SpursMax) Esports,Leicester (Indenfor) Esports,1X,41,1,1.512,2,0
Киберфутбол,1.76,2 сек,Fonbet,Newcastle (SpursMax) Esports,Leicester (Indenfor) Esports,Г1(3),33,3,1.542,2,0
Киберфутбол,11.87,3 сек,Unibet,Newcastle (SpursMax) Esports,Leicester (Indenfor) Esports,Г2(-5),3.21,1,1.722,2,0
Киберфутбол,4.76,36 сек,Favbet,Newcastle (SpursMax) Esports,Leicester (Indenfor) Esports,Тб(6.5),22,2,2.27,7,Favbet
Киберфутбол,0.02,1 сек,1xbet,Newcastle (SpursMax) Esports,Leicester (Indenfor) Esports,Команда2 Тб(5.5),2.12,2,1.912,2,0
Киберфутбол,0.84,2 сек,Favbet,Wolves (YOSHI) Esports,Everton (AlBack) Esports,Тм(2.5),2.51,1,1.696,6,Favbet
Киберфутбол,2.44,36 сек,Unibet,Newcastle (SpursMax) Esports,Leicester (Indenfor) Esports,Ф2(-5.25),21,1,2.111,11,Unibet
Киберфутбол,6.98,2 сек,Favbet,Newcastle (SpursMax) Esports,Wolves (YOSHI) Esports,Тб(5.5),21,1,2.34,4,Favbet
Киберфутбол,0,10 сек,Betcity,Newcastle (SpursMax) Esports,Wolves (YOSHI) Esports,Г1(4),21,1,23,3,0
Киберфутбол,0.79,1 сек,Fonbet,Newcastle (SpursMax) Esports,Wolves (YOSHI) Esports,Г2(-4),2.22,2,1.862,2,0
Киберфутбол,16.78,1 сек,Unibet,Leeds (ViTo) Esports,Everton (AlBack) Esports,Г1(-1),2.63,3,2.126,6,Unibet
Киберфутбол,0.09,0 сек,Fonbet,Leeds (ViTo) Esports,Everton (AlBack) Esports,Тм(6.5),2.3752,2,1.736,6,Fonbet
Киберфутбол,2.93,0 сек,Favbet,Newcastle (SpursMax) Esports,Wolves (YOSHI) Esports,Гола не будет(6),4.3331,1,1.354,4,Favbet
